method,contamination_ratio,query_rate,id_accuracy_mean,id_accuracy_std,gain_mean,gain_std,gain_worst,negative_transfer_rate,ece_mean,brier_mean,oem_0_9_mean,collapse_rate,accept_rate_mean,runtime_sec_mean,peak_memory_mb_mean
bitta_style_binary_feedback,0.5,0.1,0.7450600000000001,0.09458157799778835,0.001613333333333322,0.03565942089897948,-0.044399999999999995,0.5,0.16770023465474446,0.41271700114011767,0.11213999999999999,0.0,1.0,1.7156414190928142,1541.344140625
eatta_style_low_label,0.0,0.0,0.7947900000000001,0.06041353667675073,0.053480000000000014,0.026917260197719322,0.02310000000000001,0.0,0.11379696846102674,0.31929534127314885,0.07130333333333333,0.0,1.0,0.8897551933924357,1495.0273763020834
eatta_style_low_label,0.0,0.001,0.7975866666666666,0.055647546857560286,0.056276666666666676,0.0353180591036735,0.010199999999999987,0.0,0.12564012135768932,0.3233614603678385,0.08390333333333334,0.0,1.0,0.9704220533370972,1494.88779296875
eatta_style_low_label,0.0,0.005,0.8122766666666668,0.05292230924753715,0.07096666666666668,0.03751593990727723,0.02189999999999992,0.0,0.11009502486422658,0.29601694146792096,0.07268666666666666,0.0,1.0,1.0142536322275797,1494.61279296875
eatta_style_low_label,0.0,0.01,0.8141933333333333,0.05383988992491009,0.07288333333333336,0.037247652861330215,0.02410000000000001,0.0,0.10781166429360708,0.29278441866238913,0.07078333333333334,0.0,1.0,1.0097801685333252,1494.8117513020834
eatta_style_low_label,0.0,0.02,0.8157599999999999,0.0535805973631603,0.07445,0.0379859116352184,0.025599999999999956,0.0,0.10583840800916154,0.28948916991551715,0.06937,0.0,1.0,1.016618839899699,1494.7805013020834
eatta_style_low_label,0.0,0.05,0.8176033333333332,0.05382253395112069,0.07629333333333334,0.03880119917568611,0.026999999999999913,0.0,0.10345688138842582,0.28573581725358965,0.06748333333333334,0.0,1.0,1.0177538394927979,1494.85966796875
eatta_style_low_label,0.0,0.1,0.8188666666666666,0.053364849165314615,0.07755666666666668,0.039220786917612736,0.02939999999999998,0.0,0.10175808005561432,0.28315267811218897,0.06614,0.0,1.0,1.0535633484522502,1494.69716796875
eatta_style_low_label,0.1,0.0,0.7936148148148148,0.06255506715565341,0.05263703703703704,0.025858539317341722,0.020444444444444487,0.0,0.1151555624845955,0.32087498108545937,0.07163703703703703,0.0,1.0,0.8829445044199625,1494.9200846354167
eatta_style_low_label,0.1,0.001,0.7977037037037037,0.057571990828854704,0.05672592592592592,0.029745918986050456,0.024222222222222256,0.0,0.1190921868144362,0.319031785428524,0.07728518518518518,0.0,0.5033333333333333,0.912100887298584,1494.47841796875
eatta_style_low_label,0.1,0.005,0.8054851851851852,0.053866290504652886,0.0645074074074074,0.03622650802435183,0.018777777777777782,0.0,0.11629580415520403,0.3082990104953448,0.07696666666666667,0.0,0.8933333333333333,0.9993813117345174,1494.7513346354167
eatta_style_low_label,0.1,0.01,0.8099444444444444,0.054837643023563074,0.06896666666666666,0.03623764039674841,0.02544444444444449,0.0,0.11282132415865306,0.3006880164146423,0.0742,0.0,0.9866666666666667,0.9845751285552978,1494.7180013020834
eatta_style_low_label,0.1,0.02,0.8132148148148148,0.0545099608406574,0.07223703703703704,0.03691724125471657,0.02588888888888885,0.0,0.10884990792324145,0.2946013669172923,0.07131851851851852,0.0,1.0,1.0221477667490642,1494.8763346354167
eatta_style_low_label,0.1,0.05,0.8159777777777778,0.05511756389117329,0.075,0.0379831918194328,0.02633333333333332,0.0,0.1053048276660067,0.2888907179236412,0.06908148148148148,0.0,1.0,1.0023682196935018,1494.5492513020833
eatta_style_low_label,0.1,0.1,0.8171037037037038,0.05460580461922224,0.07612592592592592,0.03869385943600189,0.026222222222222258,0.0,0.10366422873923072,0.2865462025006612,0.06761111111111111,0.0,1.0,1.0196320136388144,1494.64716796875
eatta_style_low_label,0.2,0.0,0.7923916666666667,0.06590632829399166,0.050608333333333345,0.02450995428790927,0.019499999999999962,0.0,0.1166806379771481,0.3236519157886505,0.07288333333333334,0.0,1.0,0.8857371250788371,1494.85341796875
eatta_style_low_label,0.2,0.001,0.7985749999999999,0.059089805994044266,0.05679166666666668,0.030368912284330064,0.018500000000000072,0.0,0.1176069651581347,0.31738032201925914,0.07617916666666667,0.0,0.3766666666666667,0.9157290061314901,1494.81591796875
eatta_style_low_label,0.2,0.005,0.8042791666666667,0.05636080736682393,0.06249583333333334,0.03415720949504665,0.019000000000000017,0.0,0.11683993877948572,0.3097462837894758,0.07650416666666666,0.0,0.7266666666666667,0.96941610177358,1494.71591796875
eatta_style_low_label,0.2,0.01,0.8055416666666667,0.05378759043736269,0.06375833333333335,0.03597089240726053,0.016125000000000056,0.0,0.11626990489525099,0.30796500742435456,0.07680416666666666,0.0,0.9033333333333334,0.9816701094309489,1494.9700846354167
eatta_style_low_label,0.2,0.02,0.8095458333333333,0.05499484187541862,0.0677625,0.03685250409659639,0.01837500000000003,0.0,0.11251701373017083,0.30107949376106263,0.07442916666666667,0.0,0.9833333333333333,1.0124428749084473,1494.59716796875
eatta_style_low_label,0.2,0.05,0.8135291666666667,0.05655321230980136,0.07174583333333336,0.03743418770007396,0.02287499999999998,0.0,0.108428302204671,0.29359286576509475,0.07093333333333333,0.0,1.0,0.9967370589574178,1494.6242513020834
eatta_style_low_label,0.2,0.1,0.8149875000000001,0.05702765464576424,0.07320416666666668,0.03756981265001825,0.023499999999999965,0.0,0.10638710564120363,0.2903358598550161,0.06937916666666667,0.0,1.0,1.0221468687057496,1494.5388346354166
eatta_style_low_label,0.3,0.0,0.7900619047619047,0.06820158557485126,0.04848095238095239,0.023847435662168633,0.01471428571428568,0.0,0.1184467043800723,0.3275317812959353,0.0742,0.0,1.0,0.8669898509979248,1494.8013346354167
eatta_style_low_label,0.3,0.001,0.7950285714285715,0.0619673973892542,0.05344761904761904,0.027996097378910678,0.01557142857142857,0.0,0.11928458500894763,0.3223502347866694,0.07650952380952382,0.0,0.2866666666666667,0.9079471906026204,1494.5680013020833
eatta_style_low_label,0.3,0.005,0.8003619047619048,0.05653955828815067,0.05878095238095238,0.03309950735006182,0.016000000000000014,0.0,0.1192350748117481,0.31558824578921,0.07796666666666667,0.0,0.6833333333333333,0.931135360399882,1494.77216796875
eatta_style_low_label,0.3,0.01,0.8017,0.05635931211368903,0.060119047619047614,0.033880011053069856,0.017714285714285682,0.0,0.11934304474996668,0.31423699657122295,0.07833333333333334,0.0,0.8366666666666667,0.9755306084950764,1494.7680013020833
eatta_style_low_label,0.3,0.02,0.8057238095238096,0.056891428795732425,0.06414285714285714,0.03573565862940954,0.020000000000000018,0.0,0.11660987161745627,0.3077156960964203,0.07676190476190477,0.0,0.9666666666666667,0.9812669356664022,1494.85966796875
eatta_style_low_label,0.3,0.05,0.8109952380952381,0.05785822517181845,0.0694142857142857,0.035699373241333925,0.02100000000000002,0.0,0.11080608080533288,0.2982384900252024,0.07264761904761904,0.0,1.0,1.0249508460362753,1494.65966796875
eatta_style_low_label,0.3,0.1,0.8130809523809523,0.05805480052455241,0.07149999999999998,0.03663446595362417,0.022285714285714242,0.0,0.1081230888656917,0.29409759640693667,0.0707,0.0,1.0,1.0269315401713053,1494.65966796875
